Epoch: [1][430/677]	Time 0.023 (0.014)	Data 0.019 (0.011)	Loss 5.5452 (5.5453)	Prec@all 37.891 (37.053)
Epoch: [1][440/677]	Time 0.004 (0.014)	Data 0.000 (0.010)	Loss 5.5454 (5.5453)	Prec@all 36.719 (37.063)
Epoch: [1][450/677]	Time 0.014 (0.014)	Data 0.011 (0.010)	Loss 5.5445 (5.5453)	Prec@all 39.844 (37.129)
Epoch: [1][460/677]	Time 0.008 (0.014)	Data 0.005 (0.010)	Loss 5.5454 (5.5453)	Prec@all 38.281 (37.196)
Epoch: [1][470/677]	Time 0.007 (0.014)	Data 0.003 (0.010)	Loss 5.5455 (5.5453)	Prec@all 38.672 (37.215)
Epoch: [1][480/677]	Time 0.011 (0.014)	Data 0.007 (0.010)	Loss 5.5455 (5.5453)	Prec@all 36.719 (37.247)
Epoch: [1][490/677]	Time 0.004 (0.014)	Data 0.000 (0.011)	Loss 5.5452 (5.5453)	Prec@all 39.062 (37.265)
Epoch: [1][500/677]	Time 0.013 (0.014)	Data 0.009 (0.010)	Loss 5.5450 (5.5453)	Prec@all 41.406 (37.278)
Epoch: [1][510/677]	Time 0.022 (0.014)	Data 0.018 (0.011)	Loss 5.5447 (5.5453)	Prec@all 43.359 (37.323)
Epoch: [1][520/677]	Time 0.012 (0.014)	Data 0.008 (0.011)	Loss 5.5450 (5.5453)	Prec@all 39.844 (37.376)
Epoch: [1][530/677]	Time 0.016 (0.014)	Data 0.012 (0.011)	Loss 5.5458 (5.5453)	Prec@all 42.578 (37.462)
Epoch: [1][540/677]	Time 0.019 (0.014)	Data 0.016 (0.011)	Loss 5.5453 (5.5453)	Prec@all 43.750 (37.558)
Epoch: [1][550/677]	Time 0.023 (0.014)	Data 0.019 (0.011)	Loss 5.5452 (5.5453)	Prec@all 39.453 (37.654)
Epoch: [1][560/677]	Time 0.012 (0.014)	Data 0.008 (0.011)	Loss 5.5451 (5.5453)	Prec@all 42.188 (37.692)
Epoch: [1][570/677]	Time 0.024 (0.014)	Data 0.020 (0.011)	Loss 5.5462 (5.5453)	Prec@all 37.500 (37.728)
Epoch: [1][580/677]	Time 0.004 (0.014)	Data 0.000 (0.011)	Loss 5.5450 (5.5453)	Prec@all 39.453 (37.785)
Epoch: [1][590/677]	Time 0.015 (0.014)	Data 0.012 (0.011)	Loss 5.5453 (5.5453)	Prec@all 41.797 (37.859)
